Title,Accession number,Author,Author affiliation,Corresponding author,Source,Abbreviated source title,Sponsor,Publisher,Volume,Issue,Pages,Issue date,Monograph title,Part number,Publication year,Language,ISSN,E-ISSN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Conference code,CODEN,Document type,Abstract,Abstract type,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Treatment,Funding details,Funding text,Access type,Database,Copyright,Data Provider
"Automatic image classification based on fuzzy-rough set","20132616448151","Chen, Zai-Qing (1); Shi, Jun-Sheng (1); Bai, Feng-Xiang (1) ","(1) Color and Image Vision Lab., Yunnan Normal University, Kunming 650092, China ","Shi, J.-S.(shijs@ynnu.edu.cn) ","Jilin Daxue Xuebao (Gongxueban)/Journal of Jilin University (Engineering and Technology Edition)","Jilin Daxue Xuebao (Gongxueban)","","Editorial Board of Jilin University","43","SUPPL.1","209-212","March 2013","","","2013","Chinese","16715497","","","","","","","","","JDXGAH","Journal article (JA)","There is a gap between low-level feature of image and high-level semantic understanding of users in the automatic image classification. The fuzzy-rough set theory was introduced into automatic image classification. During the mapping from low-level visual feature to high-level semantic feature, the problems of high-dimensional feature vector processing and the appropriate choice of descriptors in image classification processing were converted to fuzzy decision table, and the concept of the semantic proximity was used to verify the dependent relations of image attributes for attribute reduction, which could eliminate the redundant information and deduce the rule of image classification. In the end, the category of an image was determined by a membership degree function. An image classification system was developed and the accuracy of the classification results was 81.7%, experimental results show that the method has good accuracy and effectiveness, and can achieve a better image automatic classification.","","13","Rough set theory","Classification (of information) - Decision tables - Image classification - Membership functions - Semantics","Automatic classification - Automatic image classification - Classification results - Fuzzy-rough sets - High dimensional feature - High-level semantic features - Image classification systems - Membership degrees","716.1 Information Theory and Signal Processing - 723.1 Computer Programming - 921 Mathematics - 921.4 Combinatorial Mathematics, Includes Graph Theory, Set Theory",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Evaluation of 2-mercaptobenzimidazole as corrosion inhibitor for mild steel in phosphoric acid","2001456721097","Wang, Lin (1) ","(1) Department of Chemistry, Yunnan University, Kunming, Yunnan 650091, China ","Wang, L. ","Corrosion Science","Corros. Sci.","","Elsevier Ltd","43","12","2281-2289","December 2001","","","2001","English","0010938X","","","10.1016/S0010-938X(01)00036-1","","","","","","CRRSAA","Journal article (JA)","The inhibiting action of 2-mercaptobenzimidazole on the corrosion of mild steel in phosphoric acid (H3PO4) solution has been investigated by weight loss and polarization. The studies reveal that the inhibitor is effective for the inhibition of mild steel over a wide concentration range of H3PO4 solutions and retards the anodic and cathodic corrosion reactions with emphasis on the former. © 2001 Elsevier Science Ltd. All rights reserved.","","10","Corrosion inhibitors","Phosphoric acid - Polarization - Steel corrosion","Corrosion reactions","539.1 Metals Corrosion - 539.2.1 Protection Methods - 545.3 Steel - 803 Chemical Agents and Basic Industrial Chemicals - 804.2 Inorganic Compounds","Theoretical (THR)",,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"A fifth-order accurate weighted ENN difference scheme and its applications","2001446713403","Shin, Y.-Q. (1); Wang, R.-Q. (1); Liao, H.-Z. (1) ","(1) Department of Mathematics, Yunnan University, Kunming 650091, China ","Shin, Y.-Q. ","Journal of Computational Mathematics","J Comput Math","","Inst. of Computational Mathematics and Sc./Eng. Computing","19","5","531-538","September 2001","","","2001","English","02549409","","","","","","","","","JCMMEB","Journal article (JA)","A highly accurate difference scheme having 5th order accuracy in smooth regions was constructed. A linear intial problem was used to test the accuracy of the new scheme. The non-oscillatory property of the scheme was tested by using a nonlinear initial problem. The new scheme was applied to compute the problem of shock-boundary-layer interaction.","(Edited Abstract)","5","Finite difference method","Boundary layers - Difference equations - Heat flux - Initial value problems - Mathematical transformations - Navier Stokes equations - Oscillations - Pressure distribution - Reynolds number - Shear stress - Viscosity","Conservative difference schemes","931.2 Physical Properties of Gases, Liquids and Solids - 921.6 Numerical Methods - 921.3 Mathematical Transformations - 921.2 Calculus - 641.2 Heat Transfer - 631.1 Fluid Flow, General - 421 Strength of Building Materials; Mechanical Properties","Applications (APP); Theoretical (THR)",,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Theoretical study of the dehydrogenate reaction of H2S by Sc+(1D)","2001206505646","Ye, Song (1) ","(1) Department of Chemistry, Yunnan University, Kunming 650091, China ","Ye, S.(yyysss@km169.net) ","International Journal of Quantum Chemistry","Int J Quantum Chem","","John Wiley and Sons Inc.","82","2","60-64","March 15, 2001","","","2001","English","00207608","","","10.1002/1097-461X(2001)82:23.0.CO;2-O","","","","","","IJQCB2","Journal article (JA)","The reaction Sc+(1D) + H2S &rarr Sc+S + H2 is theoretically investigated by ab initio MO methods. Two possible reaction channels on the singlet potential surface (PES) and the reaction mechanism are examined and discussed. Three regions of the potential surface were studied, the molecular complex, the S-H insertion products and the transition states for the reaction. In addition the singlet and triplet PESs of this reaction system are compared in an investigation the chemistry of excited electronic state. © 2001 John Wiley & Sons, Inc.","","22","Hydrogen sulfide","Dehydrogenation - Electron energy levels - Electron transitions - Positive ions - Reaction kinetics - Scandium","Singlet potential surface","549.3 Nonferrous Metals and Alloys excluding Alkali and Alkaline Earth Metals - 801.4 Physical Chemistry - 802.2 Chemical Reactions - 804.2 Inorganic Compounds - 931.3 Atomic and Molecular Physics","Theoretical (THR); Experimental (EXP)",,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Performance of Binary Tree Collision Resolution Algorithm of Random Access Channels","2004158109411","Huang, Huawei (1); Zhao, Dongfeng (1) ","(1) Department of Information, Yunnan University, Kunming, 650091 ","Huang, H. ","International Conference on Communication Technology Proceedings, ICCT","Int. Conf. Commun. Technol. Proc. ICCT","China Institute of Communications (CIC); Chinese Institue of Electronics (CIE; IEEE COMSOC","Institute of Electrical and Electronics Engineers Inc.","2","","PS021-PS025","1998","1998 International Conference on Communication Technology, ICCT 1998","2/2","1998","English","","","","","","1998 International Conference on Communication Technology, ICCT 1998","October 22, 1998 - October 24, 1998","Beijing, China","62557","","Conference article (CA)","This paper employs average cycle analysis method and binary tree collision resolution algorithm to analyze the performance of random access system. It studies the packet collision resolution in random multiple access system. The formula which the colliding packets are resoluted successfully is obtained. Also, the formula of throughput of two systems are given, one is the system employs binary tree collision resolution basic algorithm, the other is the system employs binary tree collision resolution advanced algorithm. Furthermore, the computer simulation results of packets collision resolution are given in this paper. We can obtain, compare to binary tree collision resolution basic algorithm, binary tree collision resolution advanced algorithm make a remarkable improvement for system.","","6","Random access storage","Algorithms - Computer simulation - Local area networks - Optical resolving power - Probability distributions - Throughput - Trees (mathematics)","Binary tree collision resolution - Random multiple access - The average cycle method","922.1 Probability Theory - 921.4 Combinatorial Mathematics, Includes Graph Theory, Set Theory - 912.2 Management - 741.1 Light/Optics - 723.5 Computer Applications - 723 Computer Software, Data Handling and Applications - 722.1 Data Storage, Equipment and Techniques","Theoretical (THR)",,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Study on performance evaluation method based on measurement for wireless sensor network","20100412663237","Yuan, Lingyun (1); Wang, Xingchao (2) ","(1) College of Computer Science and Information Technology, Yunnan Normal University, Kunming, China (2) Computer Center of Yunnan University, Kunming, China ","Yuan, L.(yuan_ling_yun@yahoo.com.cn) ","Proceedings of 2009 IEEE International Conference on Communications Technology and Applications, IEEE ICCTA2009","Proc. IEEE Int. Conf. Commun. Technol. Appl., IEEE ICCTA","Beijing University of Posts and Telecommunications; China Telecommunications Corporation; et al.; IEEE Beijing Section; Natural Science Foundation of China; University of London","IEEE Computer Society","","","201-206","2009","Proceedings of 2009 IEEE International Conference on Communications Technology and Applications, IEEE ICCTA2009","","2009","English","","","9781424448203","10.1109/ICCOMTA.2009.5349211","5349211","2009 IEEE International Conference on Communications Technology and Applications, IEEE ICCTA2009","October 16, 2009 - October 18, 2009","Beijing, China","79083","","Conference article (CA)","Due to non-uniform network architectures and different kinds of performance requirements in different applications, a universal method of performance evaluation for wireless sensor network is still lacking at present. The new performance evaluation criteria system for wireless sensor network are defined in this paper, such as residual energy, network lifetime and coverage degree. And a synthetic multi-criteria performance evaluation method based on criteria weight is put forward, with the integration of mathematical modeling and measurement approach. Regarded the path as a basic performance evaluation unit, a multiple measurement criteria matrix is established to calculate a synthetic performance value of the path, in which the criteria weight can be set according to the different applications. The simulation results show that network performance of wireless sensor network can be achieved efficiently with our method, in which differences in applications can be shielded. And the method can be applied to all kinds of wireless sensor networks. ©2009 IEEE.","","8","Computer network performance evaluation","Network architecture - Wireless sensor networks","Criteria weights - Modeling and measurement - Multiple criteria - Multiple measurements - Performance evaluation criteria - Performance evaluation models - Performance requirements - Performance value","716.3 Radio Systems and Equipment - 723 Computer Software, Data Handling and Applications",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Effects of cross correlation on the relaxation time of a bistable system driven by cross-correlated noise","2004078014353","Mei, Dongcheng (1); Xie, Chongwei (1); Zhang, Li (1) ","(1) Department of Physics, Yunnan University, Kunming 650091, China ","Mei, D.(kmdcmei@public.km.yn.cn) ","Physical Review E - Statistical, Nonlinear, and Soft Matter Physics","Phys. Rev. E Stat. Nonlinear Soft Matter Phys.","","American Physical Society","68","5 1","511021-511027","November 2003","Soft Matter and Biological Physics","","2003","English","1063651X","","","10.1103/PhysRevE.68.051102","051102","","","","","PLEEE8","Journal article (JA)","The effects of cross correlations between additive and multiplicative noise on relaxation time in a bistable system driven by cross-correlated noise was investigated. An analytical expression for the relaxation time T c of the system was derived using the projection-operator method. The expression of the relaxation time was used to analyze the effects of correlation intensity of noise (λ) and correlation time of noise (τ) on the relaxation time of the system, for three cases of a dimensionless parameter R=λ/τ. λ was found to enhance the fluctuation decay of dynamic variable and τ was found to have the opposite effect.","(Edited Abstract)","21","Stochastic control systems","Approximation theory - Correlation methods - Functions - Gaussian noise (electronic) - High energy physics - Mathematical operators - Molecular dynamics - Probability distributions - Random processes - Relaxation processes","Additive noises - Bistable systems - Correlation intensity - Correlation time - Multiplicative noises - Relaxation time","931.1 Mechanics - 922.2 Mathematical Statistics - 922.1 Probability Theory - 932.1 High Energy Physics - 921.6 Numerical Methods - 801.4 Physical Chemistry - 731.1 Control Systems - 921 Mathematics","Theoretical (THR)",,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Estimation of attraction domain and exponential convergence rate of Hopfield-type associative memory neural network","2003047337630","Cai, Guanghui (1); Shi, Jihong (1) ","(1) Department of Communication, Yunnan University, Kunming 650091, China ","Cai, G.(caichang@public.km.yn.cn) ","Proceedings of the World Congress on Intelligent Control and Automation (WCICA)","Proc. World Congr. Intelligent Control Autom. WCICA","IEEE","Institute of Electrical and Electronics Engineers Inc.","3","","2435-2439","2002","","3 of 4","2002","Chinese","","","","10.1109/WCICA.2002.1021529","","Proceedings of the 4th World Congress on Intelligent Control and Automation","June 10, 2002 - June 14, 2002","Shanghai, China","60616","","Conference article (CA)","In this paper, some estimation results about the attraction domain of memorized patterns and exponential convergence rate of the network trajectories to the memorized patterns for continuous associative memory neural networks are obtained. These results can be used for evaluation of error-correction capability and the synthesis procedures for continuous associative memory neural networks. We give one design example to demonstrate the effectiveness of our theorems.","","10","Neural networks","Artificial intelligence - Data storage equipment - Error correction - Estimation - Theorem proving","Associative memory - Attraction domain - Exponential convergence rate - Hopfield type associative memory neural network","722.1 Data Storage, Equipment and Techniques - 723.4 Artificial Intelligence - 921.1 Algebra","Theoretical (THR)",,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Thermal evolution characteristics of Triassic coal in Chuxiong Basin and its geological significance","20162202448821","Wang, Meng (1, 2); Li, Xiaoping (1); Dai, Xuguang (1) ","(1) School of Resources and Earth Science, China University of Mining & Technology, Xuzhou; 221116, China (2) Key Laboratory of Coalbed Methane Resource & Reservoir Formation Process, China University of Mining & Technology, Xuzhou; 221008, China ","Wang, Meng(wangm@cumt.edu.cn) ","International Journal of Mining Science and Technology","Int. J. Min. Sci. Technol.","","China University of Mining and Technology","26","5","937-945","September 2016","","","2016","English","20952686","","","10.1016/j.ijmst.2016.05.035","","","","","","","Journal article (JA)","Chuxiong Basin in Yunnan is a typical Mesozoic foreland basin which is enriched in widely distributed Triassic coal resources with thick deposits and of important strategic significance. By applying vitrinite reflectance measurement, inclusion thermometry, fission track dating and EASY% Ro numerical simulation, the Triassic coal thermal evolution history of the Chuxiong Basin was analyzed, and the results were concluded. The vitrinite reflectance of Chuxiong Basin is higher in the west and south in general. Vertically, in the east, west, and north of the basin, the vitrinite reflectance increases with increasing depth, and in the northern part, exceptionally high values occur, and there is no significant regularity in the east. The formation of inclusions inside quartz veins in Chuxiong Basin Triassic coal are unrelated with magmatic hydrothermal fluid, and there are multi-phase inclusions formed in three or four sections of tectonic movements. The main heating period (apparent age) of the Triassic coal is concentrated in the late Cenozoic, during which the coal was subjected to repeated thermal disturbance, resulting in a multimodal distribution of the fission track data, which reveals mild burial features of the early stages of the Late Cenozoic. The Triassic coal of Chuxiong Basin has experienced two major temperature increasing processes, which occurred in the early-mid Yanshan and the early Himalayan, respectively. The first hydrocarbon generation period of coal organic matter occurred in the formation stage of the foreland basin, during which the south and west of the basin generated large amounts of hydrocarbon, but little was preserved. The second generation stage in the Early Himalayan had conditions suitable for high gas accumulation, especially in the western and southern regions. The upper Triassic coal is of moderate burial depth and is less affected by the strike-slip effect. There are key areas of Chuxiong Basin oil and gas exploration, such as the Yanfeng Basin in the north-central, Yongren and Yunlong areas. © 2016","","38","Coal deposits","Coal - Economic geology - Fission reactions - Hydrocarbons - Petroleum prospecting - Reflection","Chuxiong Basin - Geological significance - Hydrocarbon generation - Multimodal distributions - Oil and gas exploration - Thermal evolution - Thermal evolution history - Triassic","481.1 Geology - 503 Mines and Mining, Coal - 512.1.2 Petroleum Deposits : Development Operations - 524 Solid Fuels - 804.1 Organic Compounds - 932.2.1 Fission and Fusion Reactions",,"Number: BK20150179, Acronym: -, Sponsor: Outstanding Youth Foundation of Jiangsu Province of China; Number: -, Acronym: -, Sponsor: Natural Science Research of Jiangsu Higher Education Institutions of China; Number: 2015XKZD07, Acronym: -, Sponsor: -; ","The authors gratefully acknowledge the support of the Fundamental Research Funds for the Central Universities (No. 2015XKZD07 ) of China and the Foundation Research Project of Jiangsu province (Youth Fund Project) of China (No. BK20150179 ), and A Project Funded by the Priority Academic Program Development of Jiangsu Higher Education Institutions of China (PAPD).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Solution of three-dimensional Laplace equation by multipole theory method","2000044941281","Zheng, Q. (1, 3, 4, 5, 6, 7); Xie, F. (1, 4); Yang, Y. (1, 3, 7); Lin, W. (2) ","(1) Department of Physics, Yunnan Normal University, Kunming 650092, China (2) Univ. Electron. Sci. Technol. China, Chengdu 610054, China (3) Department of Physics, Yunnan University (4) Department of Physics, Yunnan Normal University (5) School of Electrical Engineering, Xi'an Jiaotong University (6) Univ. Electron. Sci. Technol. China (7) Yunnan Normal University ","Zheng, Q. ","Journal of Electromagnetic Waves and Applications","J Electromagn Waves Appl","","VSP BV, Zeist, Netherlands","13","9","1153-1171","1999","","","1999","English","09205071","","","10.1163/156939399X01438","","","","","","JEWAE5","Journal article (JA)","A new approach, the multipole theory (MT) method, is presented for calculating three-dimensional (3-D) Laplace equation boundary-value problem. By the mathematical deduction, the generalized MT series formula and its applied laws are derived. The numerical analysis procedure and application of the MT method in electromagnetic engineering have been presented. The MT method is tested for accuracy by comparing the numerically calculated the capacitances against those analytically obtained for various electrostatic systems associated with 3-D Laplace equation. The results obtained by the MT method are also compared with the exact data reported in the literature. It has been proven that the MT method is an effective approach for calculating 3-D Laplace equation boundary-value problems.","","11","Electromagnetic field theory","Boundary value problems - Capacitance - Electrostatics - Laplace transforms - Three dimensional","Electromagnetic engineering - Multipole theory method - Three dimensional Laplace equation","701 Electricity and Magnetism - 701.1 Electricity: Basic Concepts and Phenomena - 921.3 Mathematical Transformations - 921.6 Numerical Methods","Theoretical (THR)",,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
